,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast
0,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
1,pc/laptop,,,,,,4.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
2,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
3,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
4,mobile,,,,,,7.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
5,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
6,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
7,mobile,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
8,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
9,mobile,,,,,,3.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
10,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
11,pc/laptop,,,,,,5.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
12,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
13,mobile,,,,,,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
14,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
15,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
16,pc/laptop,,,,,,5.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
17,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
18,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
19,pc/laptop,,,,,,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
20,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
21,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
22,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
23,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
24,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
25,pc/laptop,,,,,,5.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
26,pc/laptop,,,,,,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
27,pc/laptop,,,,,,5.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
28,tablet,,,,,,5.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
29,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
30,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
31,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
32,pc/laptop,,,,,,3.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
33,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
34,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
35,pc/laptop,,,,,,6.0,3.0,,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
36,pc/laptop,,,,,,5.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
37,tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
38,pc/laptop,,,,,,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
39,mobile,,,,,,6.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
40,mobile,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
41,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
42,mobile,,,,,,6.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
43,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
44,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
45,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
46,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
47,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
48,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
49,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
50,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
51,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
52,pc/laptop,,,,,,6.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
53,mobile,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
54,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
55,pc/laptop,,,,,,2.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
56,mobile,,,,,,4.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
57,mobile,,,,,,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
58,pc/laptop,,,,,,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
59,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
60,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
61,pc/laptop,,,,,,4.0,2.0,4.0,1.0,3.0,2.0,,3.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
62,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
63,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
64,pc/laptop,,,,,,6.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
65,mobile,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
66,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
67,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
68,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
69,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
70,mobile,,,,,,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
71,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
72,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
73,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
74,mobile,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
75,tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
76,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
77,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
78,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
79,pc/laptop,,,,,,7.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
