,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast,straight_stress,stress_percent
1415,pc/laptop,,1.0,3.0,18.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,10.0,40.0,10.0,10.0,20.0,60.0,0.0,7.0,0.0,0.0,2.0,10.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,study,17.0,0.17647058823529413
1010,tablet,,1.0,3.0,25.0,2.0,5.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,35.0,10.0,0.0,5.0,5.0,50.0,5.0,0.0,0.0,2.0,1.0,6.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,10.0,study,13.0,0.23076923076923078
1548,pc/laptop,,1.0,5.0,31.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,10.0,2.0,0.0,2.0,2.0,8.0,8.0,4.0,0.0,2.0,0.0,10.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,10.0,study,12.0,0.16666666666666666
595,mobile,,1.0,1.0,19.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,23.0,6.0,3.0,2.0,10.0,45.0,6.0,1.0,0.0,0.0,2.0,7.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,10.0,study,15.0,0.2
1376,pc/laptop,3.0,1.0,2.0,23.0,1.0,6.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,0.0,3.0,2.0,6.0,0.0,4.0,0.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,study,15.0,0.2
953,pc/laptop,,1.0,3.0,19.0,2.0,5.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,21.0,10.0,0.0,3.0,8.0,50.0,4.0,2.0,0.0,0.5,0.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,study,10.0,0.4
588,pc/laptop,,1.0,3.0,21.0,1.0,6.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,28.0,14.0,0.0,5.0,15.0,45.0,8.0,3.0,0.0,0.5,0.5,7.0,3.0,3.0,1.0,,3.0,1.0,2.0,5.0,study,8.0,0.375
1502,mobile,,1.0,2.0,35.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,7.0,1.0,3.0,0.0,1.0,1.0,7.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,10.0,study,16.0,0.1875
398,pc/laptop,,1.0,2.0,25.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,10.0,15.0,20.0,15.0,20.0,40.0,0.0,3.0,5.0,2.0,2.0,7.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,10.0,study,13.0,0.23076923076923078
292,pc/laptop,,1.0,3.0,19.0,2.0,6.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,35.0,15.0,0.0,5.0,5.0,35.0,6.0,1.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,study,11.0,0.36363636363636365
938,mobile,,1.0,3.0,19.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,28.0,14.0,10.0,2.0,10.0,50.0,4.0,3.0,0.0,0.0,2.0,8.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,10.0,study,14.0,0.14285714285714285
1190,mobile,,1.0,1.0,20.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,20.0,5.0,0.0,10.0,15.0,56.0,2.0,6.0,0.0,2.0,3.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,study,12.0,0.25
1056,pc/laptop,,1.0,2.0,24.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,13.0,,0.0,7.0,6.0,52.0,3.0,3.0,0.0,2.0,1.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,complex,10.0,0.4
1537,pc/laptop,,1.0,5.0,25.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,3.0,1.0,2.0,8.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,,study,16.0,0.1875
692,pc/laptop,,1.0,3.0,19.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,20.0,20.0,0.0,2.0,20.0,48.0,6.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,study,9.0,0.2222222222222222
374,mobile,,1.0,3.0,18.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,45.0,15.0,0.0,4.0,10.0,40.0,10.0,2.0,0.0,0.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,study,14.0,0.14285714285714285
